Gradient,RF Heat Load,Pressure,Q0,,Averaged Q0
15.9857,18.9729985181,32.8764,1.66E+10,,1.66E+10
16.0026,18.9729985181,32.8764,1.66E+10,,
15.9985,18.9729985181,32.8764,1.66E+10,,
16.0066,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9808,18.9729985181,32.8764,1.66E+10,,
15.9943,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9829,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9934,18.9729985181,32.8764,1.66E+10,,
15.9806,18.9729985181,32.8764,1.66E+10,,
15.9806,18.9729985181,32.8764,1.66E+10,,
15.9806,18.9729985181,32.8764,1.66E+10,,
15.9687,18.9729985181,32.8764,1.65E+10,,
15.9687,18.9729985181,32.8764,1.65E+10,,
15.9795,18.9729985181,32.8764,1.66E+10,,
15.9789,18.9729985181,32.8764,1.66E+10,,
15.9789,18.9729985181,32.8764,1.66E+10,,
15.9789,18.9729985181,32.8764,1.66E+10,,
15.9789,18.9729985181,32.8764,1.66E+10,,
15.9789,18.9729985181,32.8764,1.66E+10,,
15.9789,18.9729985181,32.8764,1.66E+10,,
15.9922,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9897,18.9729985181,32.8764,1.66E+10,,
15.9796,18.9729985181,32.8764,1.66E+10,,
15.9932,18.9729985181,32.8764,1.66E+10,,
15.9932,18.9729985181,32.8764,1.66E+10,,
15.9932,18.9729985181,32.8764,1.66E+10,,
15.9927,18.9729985181,32.8764,1.66E+10,,
15.9927,18.9729985181,32.8764,1.66E+10,,
15.9927,18.9729985181,32.8764,1.66E+10,,
16.0047,18.9729985181,32.8764,1.66E+10,,
15.9918,18.9729985181,32.8764,1.66E+10,,
16.0051,18.9729985181,32.8764,1.66E+10,,
15.9944,18.9729985181,32.8764,1.66E+10,,
15.9944,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
15.9941,18.9729985181,32.8764,1.66E+10,,
16.0091,18.9729985181,32.8764,1.66E+10,,
15.9953,18.9729985181,32.8764,1.66E+10,,
15.9959,18.9729985181,32.8764,1.66E+10,,
15.9959,18.9729985181,32.8764,1.66E+10,,
15.9959,18.9729985181,32.8764,1.66E+10,,
16.0085,18.9729985181,32.8764,1.66E+10,,
16.0085,18.9729985181,32.8764,1.66E+10,,
15.9973,18.9729985181,32.8764,1.66E+10,,
15.9973,18.9729985181,32.8764,1.66E+10,,
16.0103,18.9729985181,32.8764,1.66E+10,,
16.0103,18.9729985181,32.8764,1.66E+10,,
15.9981,18.9729985181,32.8764,1.66E+10,,
15.9981,18.9729985181,32.8764,1.66E+10,,
15.9981,18.9729985181,32.8764,1.66E+10,,
15.9981,18.9729985181,32.8764,1.66E+10,,
15.9981,18.9729985181,32.8764,1.66E+10,,
15.9981,18.9729985181,32.8764,1.66E+10,,
15.9866,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.0015,18.9729985181,32.8764,1.66E+10,,
16.012,18.9729985181,32.8764,1.66E+10,,
16.012,18.9729985181,32.8764,1.66E+10,,
16.012,18.9729985181,32.8764,1.66E+10,,
16.012,18.9729985181,32.8764,1.66E+10,,
16.012,18.9729985181,32.8764,1.66E+10,,
16.012,18.9729985181,32.8764,1.66E+10,,
15.9969,18.9729985181,32.8764,1.66E+10,,
15.9969,18.9729985181,32.8764,1.66E+10,,
15.9969,18.9729985181,32.8764,1.66E+10,,
16.0135,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9886,18.9729985181,32.8764,1.66E+10,,
15.9752,18.9729985181,32.8764,1.65E+10,,
15.9865,18.9729985181,32.8764,1.66E+10,,
16.0005,18.9729985181,32.8764,1.66E+10,,
16.0005,18.9729985181,32.8764,1.66E+10,,
16.0005,18.9729985181,32.8764,1.66E+10,,
16.0005,18.9729985181,32.8764,1.66E+10,,
16.0005,18.9729985181,32.8764,1.66E+10,,
16.0107,18.9729985181,32.8764,1.66E+10,,
16.0004,18.9729985181,32.8764,1.66E+10,,
16.0004,18.9729985181,32.8764,1.66E+10,,
16.0004,18.9729985181,32.8764,1.66E+10,,
16.0004,18.9729985181,32.8764,1.66E+10,,
15.9892,18.9729985181,32.8764,1.66E+10,,
16.0008,18.9729985181,32.8764,1.66E+10,,
16.0008,18.9729985181,32.8764,1.66E+10,,
16.0008,18.9729985181,32.8764,1.66E+10,,
16.0008,18.9729985181,32.8764,1.66E+10,,
16.0008,18.9729985181,32.8764,1.66E+10,,
16.0002,18.9729985181,32.8764,1.66E+10,,
16.0002,18.9729985181,32.8764,1.66E+10,,
16.0002,18.9729985181,32.8764,1.66E+10,,
16.0109,18.9729985181,32.8764,1.66E+10,,
15.9957,18.9729985181,32.8764,1.66E+10,,
16.0094,18.9729985181,32.8764,1.66E+10,,
16.0094,18.9729985181,32.8764,1.66E+10,,
15.999,18.9729985181,32.8764,1.66E+10,,
15.999,18.9729985181,32.8764,1.66E+10,,
