Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,CHTR:CM02:1155:HV:POWER
2019-03-27-11:00:00,45.0508,97.3561,74.8539,1.91489
2019-03-27-11:00:01,45.0508,97.3561,74.8539,1.91489
2019-03-27-11:00:02,45.0508,97.3561,75.0832,1.91489
2019-03-27-11:00:03,45.0508,97.3561,74.7618,1.91489
2019-03-27-11:00:04,45.0508,97.3561,75.0721,1.91489
2019-03-27-11:00:05,45.0508,97.3561,74.9131,1.91489
2019-03-27-11:00:06,45.0508,97.3561,75.0231,1.91489
2019-03-27-11:00:07,45.0508,97.3561,75.0231,1.91489
2019-03-27-11:00:08,45.0508,97.2542,74.7441,1.91489
2019-03-27-11:00:09,45.0508,97.2542,74.8609,1.91489
2019-03-27-11:00:10,45.0508,97.2542,74.8609,1.91489
2019-03-27-11:00:11,45.0508,97.2542,74.9971,1.91489
2019-03-27-11:00:12,45.0508,97.2542,74.8074,1.91489
2019-03-27-11:00:13,45.0508,97.2542,74.8074,1.91489
2019-03-27-11:00:14,45.0508,97.2542,74.8074,1.91489
2019-03-27-11:00:15,45.0508,97.4097,75.1037,1.91489
2019-03-27-11:00:16,45.0508,97.4097,74.732,1.91489
2019-03-27-11:00:17,45.0508,97.4097,75.1596,1.91489
2019-03-27-11:00:18,45.0508,97.4097,74.7513,1.91489
2019-03-27-11:00:19,45.0508,97.4097,75.0955,1.91489
2019-03-27-11:00:20,45.0508,97.2978,74.8886,1.91489
2019-03-27-11:00:21,45.0508,97.2978,74.8886,1.91489
2019-03-27-11:00:22,45.0508,97.435,74.8886,1.91489
2019-03-27-11:00:23,45.0508,97.2764,74.758,1.91489
2019-03-27-11:00:24,45.0508,97.4768,75.1033,1.91489
2019-03-27-11:00:25,45.0508,97.341,74.7392,1.91489
2019-03-27-11:00:26,45.0508,97.341,75.0356,1.91489
2019-03-27-11:00:27,45.0508,97.4838,75.0356,1.91489
2019-03-27-11:00:28,42.9883,97.3807,75.0356,1.91489
2019-03-27-11:00:29,42.9883,97.4952,74.8494,1.91489
2019-03-27-11:00:30,42.9883,97.28,75.01,1.91489
2019-03-27-11:00:31,42.9883,97.28,75.01,1.91489
2019-03-27-11:00:32,42.9883,97.28,75.01,1.91489
2019-03-27-11:00:33,42.9883,97.28,74.885,1.91489
2019-03-27-11:00:34,42.9883,97.4942,75.0271,1.91489
2019-03-27-11:00:35,42.9883,97.4942,75.0271,1.91489
2019-03-27-11:00:36,42.9883,97.2717,75.0271,1.91489
2019-03-27-11:00:37,42.9883,97.6321,75.0271,1.91489
2019-03-27-11:00:38,42.9883,97.2665,74.7964,1.91489
2019-03-27-11:00:39,42.9883,97.5958,75.163,1.91489
2019-03-27-11:00:40,42.9883,97.2955,74.9939,1.91489
2019-03-27-11:00:41,42.9883,97.4437,74.9939,1.91489
2019-03-27-11:00:42,42.9883,97.3104,74.7804,1.91489
2019-03-27-11:00:43,42.9883,97.3104,75.0546,1.91489
2019-03-27-11:00:44,42.9883,97.5076,75.0546,1.91489
2019-03-27-11:00:45,42.9883,97.2657,75.0546,1.91489
2019-03-27-11:00:46,42.9883,97.4861,75.2119,2.05561
2019-03-27-11:00:47,42.8516,97.3284,75.0226,2.05561
2019-03-27-11:00:48,41.0664,97.3284,75.0226,2.23153
2019-03-27-11:00:49,41.0664,97.3284,75.1342,2.23153
2019-03-27-11:00:50,41.0664,97.6967,75.1342,2.41471
2019-03-27-11:00:51,41.0664,97.3846,75.1342,2.41471
2019-03-27-11:00:52,40.9258,97.7346,75.1342,2.58101
2019-03-27-11:00:53,40.9258,97.2866,75.0043,2.58101
2019-03-27-11:00:54,40.9258,97.768,75.258,2.77762
2019-03-27-11:00:55,40.9258,97.3184,74.9476,2.87908
2019-03-27-11:00:56,40.9258,97.3184,75.1362,2.98194
2019-03-27-11:00:57,40.9258,97.3184,75.0065,3.08678
2019-03-27-11:00:58,40.9258,97.3184,75.1867,3.1935
2019-03-27-11:00:59,40.9258,97.4598,74.9781,3.30171
2019-03-27-11:01:00,40.9258,97.3266,74.9781,3.41192
2019-03-27-11:01:01,40.9258,97.6692,75.2554,3.52391
2019-03-27-11:01:02,40.9258,97.2821,74.9943,3.63754
2019-03-27-11:01:03,40.9258,97.7125,75.4076,3.75302
2019-03-27-11:01:04,40.9258,97.386,74.9328,3.87057
2019-03-27-11:01:05,40.9258,97.7144,75.0717,3.87057
2019-03-27-11:01:06,40.9258,97.5468,75.0717,4.08051
2019-03-27-11:01:07,40.9258,97.5468,75.0717,4.20277
2019-03-27-11:01:08,38.8672,97.3126,75.0717,4.32661
2019-03-27-11:01:09,38.8672,97.3126,75.0717,4.45249
2019-03-27-11:01:10,38.8672,97.3126,75.0717,4.58041
2019-03-27-11:01:11,38.8672,97.5833,75.2624,4.70969
2019-03-27-11:01:12,38.8672,97.409,75.0681,4.84136
2019-03-27-11:01:13,38.8672,97.2733,75.0681,4.97433
2019-03-27-11:01:14,38.8672,97.781,75.0681,5.10936
2019-03-27-11:01:15,38.8672,97.2795,75.0681,5.24631
2019-03-27-11:01:16,38.8672,97.7225,75.3383,5.38494
2019-03-27-11:01:17,38.7266,97.2725,75.035,5.52566
2019-03-27-11:01:18,38.7266,97.7892,75.035,5.63174
2019-03-27-11:01:19,38.5898,97.3827,75.035,5.77834
2019-03-27-11:01:20,39.1406,97.6209,75.035,5.92058
2019-03-27-11:01:21,39.1406,97.4872,75.035,5.92058
2019-03-27-11:01:22,39.1406,97.4872,75.035,5.92058
2019-03-27-11:01:23,39.1406,97.6915,75.1493,5.92058
2019-03-27-11:01:24,39.1406,97.2729,75.1493,5.92058
2019-03-27-11:01:25,39.1406,97.7219,75.1493,5.92058
2019-03-27-11:01:26,39.1406,97.4308,74.97,5.92058
2019-03-27-11:01:27,39.1406,97.5945,75.0866,5.92058
2019-03-27-11:01:28,37.0234,97.4347,75.0866,5.92058
2019-03-27-11:01:29,36.8867,97.5851,75.0866,5.92058
2019-03-27-11:01:30,36.8867,97.3889,75.0866,5.92058
2019-03-27-11:01:31,36.8867,97.8385,75.0866,5.92058
2019-03-27-11:01:32,36.8867,97.3568,75.0866,5.92058
2019-03-27-11:01:33,36.8867,97.8305,75.0866,5.92058
2019-03-27-11:01:34,36.8867,97.6011,75.0866,5.92058
2019-03-27-11:01:35,36.8867,97.6011,75.0866,5.92058
2019-03-27-11:01:36,36.8867,97.4642,75.0866,5.92058
2019-03-27-11:01:37,36.8867,97.4642,75.0866,5.92058
2019-03-27-11:01:38,36.8867,97.9564,75.0866,5.92058
2019-03-27-11:01:39,36.8867,97.3288,75.0866,5.92058
2019-03-27-11:01:40,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:41,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:42,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:43,36.8867,97.7168,75.0866,5.92058
2019-03-27-11:01:44,36.8867,97.3636,75.2232,5.92058
2019-03-27-11:01:45,36.8867,97.7347,75.0741,5.92058
2019-03-27-11:01:46,36.8867,97.7347,75.0741,5.92058
2019-03-27-11:01:47,36.8867,97.7347,75.0741,5.92058
2019-03-27-11:01:48,34.6328,97.7347,75.0741,5.92058
2019-03-27-11:01:49,34.6328,97.8766,75.0741,5.92058
2019-03-27-11:01:50,34.1641,97.4445,75.2226,5.92058
2019-03-27-11:01:51,34.9062,97.7337,75.2226,5.92058
2019-03-27-11:01:52,34.9062,97.5603,74.9915,5.92058
2019-03-27-11:01:53,34.9062,97.7439,74.9915,5.92058
2019-03-27-11:01:54,34.9062,97.3244,74.9915,5.92058
2019-03-27-11:01:55,34.9062,97.4864,75.272,5.92058
