Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0260:GACT,CPT:CM02:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-07-18-22:21:15,49.4,95.0457,75.0321,15.9658,32.7373,48.0,48.90462
2019-07-18-22:21:16,49.4,95.0457,74.799,16.0055,32.7373,48.0,48.90462
2019-07-18-22:21:17,49.4,95.0457,74.9457,16.0055,32.7373,48.0,48.90462
2019-07-18-22:21:18,49.4,94.937,74.9457,16.0055,32.7373,48.0,48.90462
2019-07-18-22:21:19,49.4,94.937,74.8032,15.9938,32.7373,48.0,48.90462
2019-07-18-22:21:20,49.4,94.7243,74.913,15.9938,32.7373,48.0,48.90462
2019-07-18-22:21:21,49.4,94.9832,75.0295,15.9938,32.7373,48.0,48.90462
2019-07-18-22:21:22,49.4,94.8407,75.0295,16.0052,32.7373,48.0,48.90462
2019-07-18-22:21:23,49.4,95.1463,74.8193,16.0052,32.7373,48.0,48.90462
2019-07-18-22:21:24,49.4,94.9336,74.8193,16.0052,32.7373,48.0,48.90462
2019-07-18-22:21:25,49.4,95.0756,75.183,16.0052,32.7373,48.0,48.90462
2019-07-18-22:21:26,49.4,94.6899,74.7648,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:27,49.4,95.0724,75.1794,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:28,49.4,94.8966,75.0158,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:29,49.4,94.8966,75.0158,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:30,49.4,94.8966,74.7703,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:31,49.4,94.8966,74.7703,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:32,49.4,95.0692,74.7703,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:33,49.4,95.0692,74.7703,15.9901,32.7373,48.0,48.90462
2019-07-18-22:21:34,49.4,94.9632,74.9384,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:35,49.4,94.7778,74.7953,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:36,49.4,94.9603,74.9605,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:37,49.4,94.8275,74.8068,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:38,49.4,95.0212,75.1079,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:39,49.4,94.9022,74.9748,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:40,49.4,94.9022,74.9748,16.003,32.7373,48.0,48.90462
2019-07-18-22:21:41,49.4,94.9022,74.7309,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:42,49.4,94.9022,75.0068,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:43,49.4,94.9022,74.7674,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:44,49.4,95.3986,75.0362,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:45,49.4,94.9468,74.7759,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:46,49.4,94.9468,74.7759,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:47,49.4,94.9468,74.7759,15.9875,32.7373,48.0,48.90462
2019-07-18-22:21:48,49.4,94.9468,74.7759,16.0001,32.7373,48.0,48.90462
2019-07-18-22:21:49,49.4,95.1602,74.7759,16.0001,32.7373,48.0,48.90462
2019-07-18-22:21:50,49.4,94.8675,75.0888,16.0001,32.7373,48.0,48.90462
2019-07-18-22:21:51,49.4,94.7553,74.7726,16.0001,32.7373,48.0,48.90462
2019-07-18-22:21:52,49.4,94.9623,75.0484,16.0001,32.7373,48.0,48.90462
2019-07-18-22:21:53,49.4,94.69,74.8042,16.0001,32.7373,48.0,48.90462
