5	3	64	24.1	4-3-2019-17-35	4-3-2019-22-11
1	16	34	4-1-2019-18-12	4-1-2019-18-52	80
2	16	24.5	4-2-2019-12-14	4-2-2019-12-54
3	16	24.5	4-2-2019-21-07	4-2-2019-21-47
4	16	24.5	4-2-2019-13-40	4-2-2019-14-20
5	15	24.5	4-2-2019-16-19	4-2-2019-16-59
6	6.2	24.5	4-2-2019-17-38	4-2-2019-18-18
7	16	24.5	4-2-2019-18-27	4-2-2019-19-07
8	15	24.5	4-2-2019-20-02	4-2-2019-20-42
1	16	24.1	4-3-2019-22-24	4-3-2019-23-54
2	16	24.8	4-4-2019-17-34	4-4-2019-19-04
3	16	24.8	4-4-2019-12-03	4-4-2019-13-33
4	16	24.8	4-4-2019-19-09	4-4-2019-20-39
5	15	24.8	4-4-2019-20-50	4-4-2019-22-20
7	16	24.8	4-4-2019-22-25	4-4-2019-23-55
