Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-27-11:00:00,45,97.3561,74.8539,16.0,15.36425
2019-03-27-11:00:01,45,97.3561,74.8539,16.0,15.36425
2019-03-27-11:00:02,45,97.3561,75.0832,16.0,15.36425
2019-03-27-11:00:03,45,97.3561,74.7618,16.0,15.36425
2019-03-27-11:00:04,45,97.3561,75.0721,16.0,15.36425
2019-03-27-11:00:05,45,97.3561,74.9131,16.0,15.36425
2019-03-27-11:00:06,45,97.3561,75.0231,16.0,15.36425
2019-03-27-11:00:07,45,97.3561,75.0231,16.0,15.36425
2019-03-27-11:00:08,45,97.2542,74.7441,16.0,15.36425
2019-03-27-11:00:09,45,97.2542,74.8609,16.0,15.36425
2019-03-27-11:00:10,45,97.2542,74.8609,16.0,15.36425
2019-03-27-11:00:11,45,97.2542,74.9971,16.0,15.36425
2019-03-27-11:00:12,45,97.2542,74.8074,16.0,15.36425
2019-03-27-11:00:13,45,97.2542,74.8074,16.0,15.36425
2019-03-27-11:00:14,45,97.2542,74.8074,16.0,15.36425
2019-03-27-11:00:15,45,97.4097,75.1037,16.0,15.36425
2019-03-27-11:00:16,45,97.4097,74.732,16.0,15.36425
2019-03-27-11:00:17,45,97.4097,75.1596,16.0,15.36425
2019-03-27-11:00:18,45,97.4097,74.7513,16.0,15.36425
2019-03-27-11:00:19,45,97.4097,75.0955,16.0,15.36425
2019-03-27-11:00:20,45,97.2978,74.8886,16.0,15.36425
2019-03-27-11:00:21,45,97.2978,74.8886,16.0,15.36425
2019-03-27-11:00:22,45,97.435,74.8886,16.0,15.36425
2019-03-27-11:00:23,45,97.2764,74.758,16.0,15.36425
2019-03-27-11:00:24,45,97.4768,75.1033,16.0,15.36425
2019-03-27-11:00:25,45,97.341,74.7392,16.0,15.36425
2019-03-27-11:00:26,45,97.341,75.0356,16.0,15.36425
2019-03-27-11:00:27,43,97.4838,75.0356,16.0,15.36425
2019-03-27-11:00:28,43,97.3807,75.0356,16.0,15.36425
2019-03-27-11:00:29,43,97.4952,74.8494,16.0,15.36425
2019-03-27-11:00:30,43,97.28,75.01,16.0,15.36425
2019-03-27-11:00:31,43,97.28,75.01,16.0,15.36425
2019-03-27-11:00:32,43,97.28,75.01,16.0,15.36425
2019-03-27-11:00:33,43,97.28,74.885,16.0,15.36425
2019-03-27-11:00:34,43,97.4942,75.0271,16.0,15.36425
2019-03-27-11:00:35,43,97.4942,75.0271,16.0,15.36425
2019-03-27-11:00:36,43,97.2717,75.0271,16.0,15.36425
2019-03-27-11:00:37,43,97.6321,75.0271,16.0,15.36425
2019-03-27-11:00:38,43,97.2665,74.7964,16.0,15.36425
2019-03-27-11:00:39,43,97.5958,75.163,16.0,15.36425
2019-03-27-11:00:40,43,97.2955,74.9939,16.0,15.36425
2019-03-27-11:00:41,43,97.4437,74.9939,16.0,15.36425
2019-03-27-11:00:42,43,97.3104,74.7804,16.0,15.36425
2019-03-27-11:00:43,43,97.3104,75.0546,16.0,15.36425
2019-03-27-11:00:44,43,97.5076,75.0546,20.0,15.36425
2019-03-27-11:00:45,43,97.2657,75.0546,20.0,15.36425
2019-03-27-11:00:46,43,97.4861,75.2119,20.0,15.50497
2019-03-27-11:00:47,41,97.3284,75.0226,20.0,15.50497
2019-03-27-11:00:48,41,97.3284,75.0226,20.0,15.68089
2019-03-27-11:00:49,41,97.3284,75.1342,20.0,15.68089
2019-03-27-11:00:50,41,97.6967,75.1342,20.0,15.86407
2019-03-27-11:00:51,41,97.3846,75.1342,20.0,15.86407
2019-03-27-11:00:52,41,97.7346,75.1342,20.0,16.03037
2019-03-27-11:00:53,41,97.2866,75.0043,20.0,16.03037
2019-03-27-11:00:54,41,97.768,75.258,20.0,16.22698
2019-03-27-11:00:55,41,97.3184,74.9476,20.0,16.32844
2019-03-27-11:00:56,41,97.3184,75.1362,20.0,16.4313
2019-03-27-11:00:57,41,97.3184,75.0065,20.0,16.53614
2019-03-27-11:00:58,41,97.3184,75.1867,20.0,16.64286
2019-03-27-11:00:59,41,97.4598,74.9781,20.0,16.75107
2019-03-27-11:01:00,41,97.3266,74.9781,20.0,16.86128
2019-03-27-11:01:01,41,97.6692,75.2554,20.0,16.97327
2019-03-27-11:01:02,41,97.2821,74.9943,20.0,17.0869
2019-03-27-11:01:03,41,97.7125,75.4076,20.0,17.20238
2019-03-27-11:01:04,41,97.386,74.9328,20.0,17.31993
2019-03-27-11:01:05,41,97.7144,75.0717,20.0,17.31993
2019-03-27-11:01:06,41,97.5468,75.0717,20.0,17.52987
2019-03-27-11:01:07,39,97.5468,75.0717,20.0,17.65213
2019-03-27-11:01:08,39,97.3126,75.0717,20.0,17.77597
2019-03-27-11:01:09,39,97.3126,75.0717,20.0,17.90185
2019-03-27-11:01:10,39,97.3126,75.0717,20.0,18.02977
2019-03-27-11:01:11,39,97.5833,75.2624,20.0,18.15905
2019-03-27-11:01:12,39,97.409,75.0681,20.0,18.29072
2019-03-27-11:01:13,39,97.2733,75.0681,20.0,18.42369
2019-03-27-11:01:14,39,97.781,75.0681,20.0,18.55872
2019-03-27-11:01:15,39,97.2795,75.0681,20.0,18.69567
2019-03-27-11:01:16,39,97.7225,75.3383,20.0,18.8343
2019-03-27-11:01:17,39,97.2725,75.035,20.0,18.97502
2019-03-27-11:01:18,39,97.7892,75.035,20.0,19.0811
2019-03-27-11:01:19,39,97.3827,75.035,20.0,19.2277
2019-03-27-11:01:20,39,97.6209,75.035,20.0,19.36994
2019-03-27-11:01:21,39,97.4872,75.035,20.0,19.36994
2019-03-27-11:01:22,39,97.4872,75.035,20.0,19.36994
2019-03-27-11:01:23,39,97.6915,75.1493,20.0,19.36994
2019-03-27-11:01:24,39,97.2729,75.1493,20.0,19.36994
2019-03-27-11:01:25,39,97.7219,75.1493,20.0,19.36994
2019-03-27-11:01:26,39,97.4308,74.97,20.0,19.36994
2019-03-27-11:01:27,37,97.5945,75.0866,20.0,19.36994
2019-03-27-11:01:28,37,97.4347,75.0866,20.0,19.36994
2019-03-27-11:01:29,37,97.5851,75.0866,20.0,19.36994
2019-03-27-11:01:30,37,97.3889,75.0866,20.0,19.36994
2019-03-27-11:01:31,37,97.8385,75.0866,20.0,19.36994
2019-03-27-11:01:32,37,97.3568,75.0866,20.0,19.36994
2019-03-27-11:01:33,37,97.8305,75.0866,20.0,19.36994
2019-03-27-11:01:34,37,97.6011,75.0866,20.0,19.36994
2019-03-27-11:01:35,37,97.6011,75.0866,20.0,19.36994
2019-03-27-11:01:36,37,97.4642,75.0866,20.0,19.36994
2019-03-27-11:01:37,37,97.4642,75.0866,20.0,19.36994
2019-03-27-11:01:38,37,97.9564,75.0866,20.0,19.36994
2019-03-27-11:01:39,37,97.3288,75.0866,20.0,19.36994
2019-03-27-11:01:40,37,97.7168,75.0866,20.0,19.36994
2019-03-27-11:01:41,37,97.7168,75.0866,20.0,19.36994
2019-03-27-11:01:42,37,97.7168,75.0866,20.0,19.36994
2019-03-27-11:01:43,37,97.7168,75.0866,20.0,19.36994
2019-03-27-11:01:44,37,97.3636,75.2232,20.0,19.36994
2019-03-27-11:01:45,37,97.7347,75.0741,20.0,19.36994
2019-03-27-11:01:46,37,97.7347,75.0741,20.0,19.36994
2019-03-27-11:01:47,35,97.7347,75.0741,20.0,19.36994
2019-03-27-11:01:48,35,97.7347,75.0741,20.0,19.36994
2019-03-27-11:01:49,35,97.8766,75.0741,20.0,19.36994
2019-03-27-11:01:50,35,97.4445,75.2226,20.0,19.36994
2019-03-27-11:01:51,35,97.7337,75.2226,20.0,19.36994
2019-03-27-11:01:52,35,97.5603,74.9915,20.0,19.36994
2019-03-27-11:01:53,35,97.7439,74.9915,20.0,19.36994
2019-03-27-11:01:54,35,97.3244,74.9915,20.0,19.36994
2019-03-27-11:01:55,35,97.4864,75.272,20.0,19.36994
2019-03-27-11:01:56,35,97.4864,74.9745,20.0,19.36994
2019-03-27-11:01:57,35,97.3458,74.9745,20.0,19.36994
2019-03-27-11:01:58,35,97.3458,75.0795,20.0,19.36994
2019-03-27-11:01:59,35,97.6166,75.0795,20.0,19.36994
2019-03-27-11:02:00,35,97.7618,75.3024,20.0,19.36994
