Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-30-12:22:47,18.3,94.4564,75.7081,118.75,0.0,0.0,35.7590844121
2020-07-30-12:22:48,18.3,94.4564,75.7081,118.75,0.0,0.0,35.892081
2020-07-30-12:22:49,18.3,94.4564,75.9931,118.75,0.0,0.0,35.892081
2020-07-30-12:22:50,18.3,94.4564,75.9931,118.75,0.0,0.0,35.892081
2020-07-30-12:22:51,18.3,94.2354,76.208,118.75,0.0,0.0,35.892081
2020-07-30-12:22:52,18.3,94.2354,76.3798,118.75,0.0,0.0,35.892081
2020-07-30-12:22:53,18.3,94.4186,76.1167,118.75,0.0,0.0,35.892081
2020-07-30-12:22:54,18.3,94.1387,76.4791,118.75,0.0,0.0,35.892081
2020-07-30-12:22:55,18.3,94.3257,76.3403,118.75,0.0,0.0,35.892081
2020-07-30-12:22:56,18.3,94.3257,76.3403,118.75,0.0,0.0,35.892081
2020-07-30-12:22:57,18.3,94.3257,76.1658,118.75,0.0,0.0,36.0367293636
2020-07-30-12:22:58,18.3,94.3257,76.3867,118.75,0.0,0.0,36.0367293636
2020-07-30-12:22:59,18.3,94.2118,76.1674,118.75,0.0,0.0,36.0367293636
2020-07-30-12:23:00,18.3,94.2118,76.3905,118.75,0.0,0.0,36.0367293636
2020-07-30-12:23:01,18.3,94.0093,76.6644,118.75,0.0,0.0,51.9013621476
2020-07-30-12:23:02,18.3,94.2605,76.3436,118.75,0.0,0.0,51.9013621476
2020-07-30-12:23:03,18.3,94.2605,76.1231,118.75,0.0,0.0,51.9013621476
2020-07-30-12:23:04,18.3,94.0123,76.1231,118.75,0.0,0.0,51.7488880689
2020-07-30-12:23:05,18.3,93.8906,75.8436,118.75,0.0,0.0,51.5966382864
2020-07-30-12:23:06,18.3,94.1471,75.4982,118.75,0.0,0.0,51.5966382864
2020-07-30-12:23:07,18.3,94.1471,75.3488,118.75,0.0,0.0,51.5966382864
2020-07-30-12:23:08,18.3,94.1471,75.5031,118.75,0.0,0.0,51.4413135076
2020-07-30-12:23:09,18.3,94.2958,75.2278,118.75,0.0,0.0,51.4413135076
2020-07-30-12:23:10,18.3,94.5531,75.6329,118.75,0.0,0.0,51.4413135076
2020-07-30-12:23:11,18.3,94.5531,75.6329,118.75,0.0,0.0,51.2787752464
2020-07-30-12:23:12,18.3,94.5531,75.2862,118.75,0.0,0.0,51.0331640625
2020-07-30-12:23:13,18.3,94.5531,75.444,118.75,0.0,0.0,51.0331640625
2020-07-30-12:23:14,18.3,94.5531,75.0697,118.75,0.0,0.0,51.0331640625
2020-07-30-12:23:15,18.3,94.1934,75.4278,118.75,0.0,0.0,50.8883916321
2020-07-30-12:23:16,18.3,94.476,75.0235,118.75,0.0,0.0,50.8883916321
2020-07-30-12:23:17,18.3,94.6455,75.3362,118.75,0.0,0.0,50.8883916321
2020-07-30-12:23:18,18.3,94.4454,75.7907,118.75,0.0,0.0,50.8883916321
2020-07-30-12:23:19,18.3,94.4454,75.3217,118.75,0.0,0.0,50.58765625
2020-07-30-12:23:20,18.3,94.8644,75.4329,118.75,0.0,0.0,50.4429493824
2020-07-30-12:23:21,18.3,94.4779,75.6123,118.75,0.0,0.0,50.4429493824
2020-07-30-12:23:22,18.3,95.2373,74.9457,118.75,0.0,0.0,50.4429493824
2020-07-30-12:23:23,18.3,94.6604,75.4157,118.75,0.0,0.0,50.4429493824
2020-07-30-12:23:24,18.3,94.1231,75.1103,118.75,0.0,0.0,50.2849756161
2020-07-30-12:23:25,18.3,94.0051,75.394,118.75,0.0,0.0,50.2849756161
2020-07-30-12:23:26,18.3,94.2449,74.9955,118.75,0.0,0.0,49.9263775396
2020-07-30-12:23:27,18.3,93.8111,75.4403,118.75,0.0,0.0,49.9263775396
2020-07-30-12:23:28,18.3,93.6515,75.3276,118.75,0.0,0.0,49.7720373049
2020-07-30-12:23:29,18.3,93.921,75.3276,118.75,0.0,0.0,49.7720373049
2020-07-30-12:23:30,18.3,93.7588,75.6057,118.75,0.0,0.0,49.7720373049
2020-07-30-12:23:31,18.3,93.4376,75.6057,118.75,0.0,0.0,49.7720373049
2020-07-30-12:23:32,18.3,93.6941,75.2962,118.75,0.0,0.0,49.6301933169
2020-07-30-12:23:33,18.3,93.6941,75.7132,118.75,0.0,0.0,49.6301933169
2020-07-30-12:23:34,18.3,93.8786,75.1946,118.75,0.0,0.0,49.0600784041
2020-07-30-12:23:35,18.3,93.7383,75.38,118.75,0.0,0.0,49.0600784041
2020-07-30-12:23:36,18.3,93.4356,75.38,118.75,0.0,0.0,49.0600784041
2020-07-30-12:23:37,18.3,93.7573,75.8065,118.75,0.0,0.0,49.0600784041
2020-07-30-12:23:38,18.3,93.5933,75.4904,118.75,0.0,0.0,49.0600784041
2020-07-30-12:23:39,18.3,93.7885,75.6711,118.75,0.0,0.0,48.9108605769
