Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-16-13:46:33,31,94.1384,75.9248,27.5578,8.0,8.0,1627.63934418
2020-07-16-13:46:34,31,94.1384,75.7648,27.5578,8.0,8.0,1627.07455588
2020-07-16-13:46:35,31,94.3666,75.9496,27.5578,8.0,8.0,1626.62025773
2020-07-16-13:46:36,31,94.3666,75.7344,27.5578,8.0,8.0,1627.37229773
2020-07-16-13:46:37,30.5,94.3666,75.9656,27.5578,8.0,8.0,1627.14669877
2020-07-16-13:46:38,30.5,94.3666,75.774,27.5578,8.0,8.0,1627.43633154
2020-07-16-13:46:39,30.5,94.1962,75.9125,27.5578,8.0,8.0,1627.68614604
2020-07-16-13:46:40,30.5,94.1962,75.9125,27.5578,8.0,8.0,1627.90847065
2020-07-16-13:46:41,30.5,94.3461,75.7735,27.5578,8.0,8.0,1628.7496958
2020-07-16-13:46:42,30,94.1181,75.7735,27.5578,8.0,8.0,1628.89205431
2020-07-16-13:46:43,30,94.2347,75.7735,27.5578,8.0,8.0,1626.14159062
2020-07-16-13:46:44,30,94.2347,75.8939,27.5578,8.0,8.0,1627.88769869
2020-07-16-13:46:45,30,94.1272,76.0837,27.5578,8.0,8.0,1627.91509749
2020-07-16-13:46:46,30,94.2602,75.7303,27.5578,8.0,8.0,1627.99861661
2020-07-16-13:46:47,29.5,94.1196,75.7303,27.5578,8.0,8.0,1628.16319669
2020-07-16-13:46:48,29.5,94.3931,75.7303,27.5065,8.0,8.0,1628.44260262
2020-07-16-13:46:49,29.5,94.1136,75.7303,27.5065,8.0,8.0,1628.27109288
2020-07-16-13:46:50,29.5,94.1136,75.8741,27.5065,8.0,8.0,1629.79615977
2020-07-16-13:46:51,29.5,94.1136,75.7284,27.5065,8.0,8.0,1627.6776499
2020-07-16-13:46:52,29,94.1136,75.8904,27.5065,8.0,8.0,1630.70370088
2020-07-16-13:46:53,29,94.1136,75.7478,27.5065,8.0,8.0,1628.98206197
2020-07-16-13:46:54,29,94.2158,75.7478,27.5065,8.0,8.0,1630.05004467
2020-07-16-13:46:55,29,94.2158,75.7478,27.5065,8.0,8.0,1628.42265325
2020-07-16-13:46:56,29,94.2158,75.7478,27.5065,8.0,8.0,1629.94846628
2020-07-16-13:46:57,29,94.2158,75.7478,27.5065,8.0,8.0,1630.63057088
2020-07-16-13:46:58,29,94.0901,75.7478,27.5065,8.0,8.0,1630.47922425
2020-07-16-13:46:59,29,94.0901,75.9058,27.5065,8.0,8.0,1630.66177045
2020-07-16-13:47:00,29,94.0901,75.7775,27.5065,8.0,8.0,1629.15262287
2020-07-16-13:47:01,29,94.0901,75.7775,27.5065,8.0,8.0,1630.74710954
2020-07-16-13:47:02,29,94.0901,75.7775,27.5065,8.0,8.0,1631.06883057
2020-07-16-13:47:03,29,94.0901,75.7775,27.5065,8.0,8.0,1631.8621959
2020-07-16-13:47:04,29,94.0901,75.7775,27.5065,8.0,8.0,1629.97682087
2020-07-16-13:47:05,29,94.0901,75.7775,27.5065,8.0,8.0,1630.63268593
2020-07-16-13:47:06,29,94.0901,75.7775,27.5065,8.0,8.0,1631.42384516
2020-07-16-13:47:07,29,94.0901,75.7775,27.5065,8.0,8.0,1631.37040899
2020-07-16-13:47:08,29,94.2291,75.7775,27.5065,8.0,8.0,1631.84483517
2020-07-16-13:47:09,29,94.0929,75.7775,27.5065,8.0,8.0,1631.94116883
2020-07-16-13:47:10,29,94.2132,75.7775,27.5065,8.0,8.0,1631.20566227
2020-07-16-13:47:11,29,94.0859,75.7775,27.5065,8.0,8.0,1632.3401533
2020-07-16-13:47:12,29,94.0859,75.7775,27.5065,8.0,8.0,1631.96846777
2020-07-16-13:47:13,29,94.2224,75.7775,27.5065,8.0,8.0,1632.19030228
2020-07-16-13:47:14,29,93.8457,75.7775,27.5065,8.0,8.0,1631.15219961
2020-07-16-13:47:15,29,94.2428,75.7775,27.5065,8.0,8.0,1631.90120097
2020-07-16-13:47:16,29,94.2428,75.7775,27.5065,8.0,8.0,1631.0460248
2020-07-16-13:47:17,29,94.2428,75.7775,27.5065,8.0,8.0,1631.24171273
2020-07-16-13:47:18,29,94.0807,75.7775,27.5065,8.0,8.0,1631.94713126
2020-07-16-13:47:19,29,94.0807,75.6278,27.5065,8.0,8.0,1633.10843519
2020-07-16-13:47:20,29,94.2488,75.7373,27.5065,8.0,8.0,1632.20913361
2020-07-16-13:47:21,29,94.0697,75.7373,27.5065,8.0,8.0,1632.12045068
2020-07-16-13:47:22,29,94.0697,75.7373,27.5065,8.0,8.0,1633.03496983
2020-07-16-13:47:23,29,94.0697,75.554,27.5065,8.0,8.0,1633.35934757
2020-07-16-13:47:24,29,94.0697,75.554,27.5065,8.0,8.0,1633.26700876
