Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0340:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-02-13:40:00,24.5,95.4982,74.7609,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:01,24.5,95.7276,74.891,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:02,24.5,95.4135,74.7837,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:03,24.5,95.5346,74.7837,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:04,24.5,95.5346,74.6691,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:05,24.5,95.5346,74.8051,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:06,24.5,95.5346,74.8051,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:07,24.5,95.5346,74.8051,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:08,24.5,95.5346,74.8051,1.08235,29.4852,64.0,63.07998
2019-04-02-13:40:09,24.5,95.5346,74.8051,0.00139943,29.4852,64.0,63.07998
2019-04-02-13:40:10,24.5,95.5346,74.6595,10.7964,29.4852,64.0,63.07998
2019-04-02-13:40:11,24.5,95.5346,74.8033,10.7813,29.4852,64.0,63.07998
2019-04-02-13:40:12,24.5,95.5346,74.8033,10.7693,29.4852,64.0,63.07998
2019-04-02-13:40:13,24.5,95.5346,74.6565,10.7693,29.4852,64.0,63.07998
2019-04-02-13:40:14,24.5,95.5346,74.6565,11.5033,29.4852,64.0,63.07998
2019-04-02-13:40:15,24.5,95.5346,74.6565,11.5033,29.4852,64.0,63.07998
2019-04-02-13:40:16,24.5,95.6464,74.6565,11.4925,29.4852,64.0,63.07998
2019-04-02-13:40:17,24.5,95.6464,74.7593,11.4925,29.4852,64.0,63.07998
2019-04-02-13:40:18,24.5,95.6464,74.7593,11.4925,29.4852,64.0,63.07998
2019-04-02-13:40:19,24.5,95.6464,74.5922,11.4925,29.4852,64.0,63.07998
2019-04-02-13:40:20,24.5,95.6464,74.8243,11.4925,29.4852,64.0,63.07998
2019-04-02-13:40:21,24.5,95.6464,74.6579,12.229,29.4852,64.0,63.07998
2019-04-02-13:40:22,24.5,95.5393,74.7861,12.229,29.4852,64.0,63.07998
2019-04-02-13:40:23,24.5,95.5393,74.7861,12.229,29.4852,64.0,63.07998
2019-04-02-13:40:24,24.5,95.5393,74.7861,12.2179,29.4852,64.0,63.07998
2019-04-02-13:40:25,24.5,95.5393,74.7861,12.2179,29.4852,64.0,63.07998
2019-04-02-13:40:26,24.5,95.6928,74.613,12.2179,29.4852,64.0,63.07998
2019-04-02-13:40:27,24.5,95.5395,74.613,12.2179,29.4852,64.0,63.07998
2019-04-02-13:40:28,24.5,95.7397,74.839,12.9588,29.4852,64.0,63.07998
2019-04-02-13:40:29,24.5,95.4612,74.6368,12.9588,29.4852,64.0,63.07998
2019-04-02-13:40:30,24.5,95.4612,74.9701,12.9588,29.4852,64.0,63.07998
2019-04-02-13:40:31,24.5,95.4612,74.8145,12.9588,29.4852,64.0,63.07998
2019-04-02-13:40:32,24.5,95.4612,74.8145,12.9482,29.4852,64.0,63.07998
2019-04-02-13:40:33,24.5,95.6858,74.8145,12.9482,29.4852,64.0,63.07998
2019-04-02-13:40:34,24.5,95.5589,74.8145,12.9482,29.4852,64.0,63.07998
2019-04-02-13:40:35,24.5,95.5589,74.8145,13.695,29.4852,64.0,63.07998
2019-04-02-13:40:36,24.5,95.5589,74.5944,13.695,29.4852,64.0,63.07998
2019-04-02-13:40:37,24.5,95.5589,74.8148,13.695,29.4852,64.0,63.07998
2019-04-02-13:40:38,24.5,95.7031,74.6689,13.682,29.4852,64.0,63.07998
2019-04-02-13:40:39,24.5,95.5706,74.6689,13.682,29.4852,64.0,63.07998
2019-04-02-13:40:40,24.5,95.5706,74.7952,13.682,29.4852,64.0,63.07998
2019-04-02-13:40:41,24.5,95.5706,74.5601,13.682,29.4852,64.0,63.07998
2019-04-02-13:40:42,24.5,95.6794,74.7398,14.4192,29.4852,64.0,63.07998
2019-04-02-13:40:43,24.5,95.6794,74.7398,14.4192,29.4852,64.0,63.07998
2019-04-02-13:40:44,24.5,95.5087,74.7398,14.4086,29.4852,64.0,63.07998
2019-04-02-13:40:45,24.5,95.5087,74.9259,14.4086,29.4852,64.0,63.07998
2019-04-02-13:40:46,24.5,95.5087,74.7559,14.398,29.4852,64.0,63.07998
2019-04-02-13:40:47,24.5,95.5087,74.9936,14.398,29.4852,64.0,63.07998
2019-04-02-13:40:48,24.5,95.6595,74.6782,14.398,29.4852,64.0,63.07998
2019-04-02-13:40:49,24.5,95.6595,74.5706,15.1156,29.4852,64.0,63.07998
2019-04-02-13:40:50,24.5,95.6595,74.809,15.1328,29.4852,64.0,63.07998
2019-04-02-13:40:51,24.5,95.6595,74.7065,15.1328,29.4852,64.0,63.07998
2019-04-02-13:40:52,24.5,95.5403,74.8645,15.1328,29.4852,64.0,63.07998
2019-04-02-13:40:53,24.5,95.3834,74.5662,15.1328,29.4852,64.0,63.07998
2019-04-02-13:40:54,24.5,95.5723,74.7056,15.1226,29.4852,64.0,63.07998
2019-04-02-13:40:55,24.5,95.5723,74.7056,15.1226,29.4852,64.0,63.07998
2019-04-02-13:40:56,24.5,95.5723,74.7056,15.1226,29.4852,64.0,63.07998
2019-04-02-13:40:57,24.5,95.5723,74.7056,15.8478,29.4852,64.0,63.07998
2019-04-02-13:40:58,24.5,95.5723,74.5606,15.8478,29.4852,64.0,63.07998
2019-04-02-13:40:59,24.5,95.5723,74.5606,15.8371,29.4852,64.0,63.07998
2019-04-02-13:41:00,24.5,95.5723,74.5606,15.8371,29.4852,64.0,63.07998
2019-04-02-13:41:01,24.5,95.5723,74.6931,15.8371,29.4852,64.0,63.07998
2019-04-02-13:41:02,24.5,95.5723,74.5746,15.8248,29.4852,64.0,63.07998
2019-04-02-13:41:03,24.5,95.5723,74.7348,15.8248,29.4852,64.0,63.07998
2019-04-02-13:41:04,24.5,95.5723,74.7348,16.5371,29.4852,64.0,63.07998
2019-04-02-13:41:05,24.5,95.5723,74.7348,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:06,24.5,95.5723,74.5963,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:07,24.5,95.5723,74.5963,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:08,24.5,95.4695,74.5963,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:09,24.5,95.4695,74.5963,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:10,24.5,95.4695,74.5963,16.5267,29.4852,64.0,63.07998
2019-04-02-13:41:11,24.5,95.4695,74.5963,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:12,24.5,95.4695,74.7154,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:13,24.5,95.4695,74.7154,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:14,24.5,95.6079,74.5736,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:15,24.5,95.3722,74.5736,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:16,24.5,95.6736,74.5736,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:17,24.5,95.5069,74.5736,16.1621,29.4852,64.0,63.07998
2019-04-02-13:41:18,24.5,95.6116,74.5736,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:19,24.5,95.4962,74.5736,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:20,24.5,95.6107,74.5736,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:21,24.5,95.3936,74.5736,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:22,24.5,95.5648,74.7673,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:23,24.5,95.4495,74.5909,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:24,24.5,95.4495,74.7482,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:25,24.5,95.4495,74.563,15.8015,29.4852,64.0,63.07998
2019-04-02-13:41:26,24.5,95.3389,74.563,15.9887,29.4852,64.0,63.07998
2019-04-02-13:41:27,24.5,95.5239,74.563,15.9887,29.4852,64.0,63.07998
2019-04-02-13:41:28,24.5,95.3235,74.7222,15.9887,29.4852,64.0,63.07998
2019-04-02-13:41:29,24.5,95.5094,74.7222,15.9887,29.4852,64.0,63.07998
2019-04-02-13:41:30,24.5,95.5094,74.7222,15.9887,29.4852,64.0,63.07998
2019-04-02-13:41:31,24.5,95.5094,74.5882,15.9887,29.4852,64.0,63.07998
