Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,ACCL:L1B:0330:GACT,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-04-04-12:03:00,24.8,95.5933,75.0604,11.2979,29.5196,64.0,63.4518
2019-04-04-12:03:05,24.8,95.5789,74.9136,12.0636,29.5196,64.0,63.4518
2019-04-04-12:03:10,24.8,95.5834,74.7129,12.8339,29.5196,64.0,63.4518
2019-04-04-12:03:15,24.8,95.5834,74.6708,13.6096,29.5196,64.0,63.4518
2019-04-04-12:03:20,24.8,95.5834,74.7956,14.3827,29.5196,64.0,63.4518
2019-04-04-12:03:25,24.8,95.7728,74.9136,15.1484,29.5196,64.0,63.4518
2019-04-04-12:03:30,24.8,95.5912,74.8342,15.9001,29.5196,64.0,63.4518
2019-04-04-12:03:35,24.8,95.7911,74.7293,16.6517,29.5196,64.0,63.4518
2019-04-04-12:03:40,24.8,95.5574,74.6184,15.8804,29.5196,64.0,63.4518
2019-04-04-12:03:45,24.8,95.5876,74.6859,16.0706,29.5196,64.0,63.4518
2019-04-04-12:03:50,24.8,95.5782,74.6047,15.969,29.5196,64.0,63.4518
2019-04-04-12:03:55,24.8,95.5558,74.7615,16.0093,29.6216,64.0,63.4518
2019-04-04-12:04:00,24.8,95.6063,74.8446,15.9944,29.6216,64.0,63.4518
2019-04-04-12:04:05,24.8,95.7074,74.8165,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:10,24.8,95.5523,74.7768,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:15,24.8,95.6295,74.5963,15.9833,29.6216,64.0,63.4518
2019-04-04-12:04:20,24.8,95.6295,74.6033,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:25,24.8,95.6295,74.6948,15.9955,29.6216,64.0,63.4518
2019-04-04-12:04:30,24.8,95.5579,74.6773,15.9839,29.6216,64.0,63.4518
2019-04-04-12:04:35,24.8,95.5579,74.6773,16.0063,29.6216,64.0,63.4518
2019-04-04-12:04:40,24.8,95.5575,74.6035,16.0063,29.6216,64.0,63.4518
2019-04-04-12:04:45,24.8,95.566,74.6897,15.9961,29.6216,64.0,63.4518
2019-04-04-12:04:50,24.8,95.548,74.6897,15.9961,29.6216,64.0,63.4518
2019-04-04-12:04:55,24.8,95.7376,74.5881,16.0143,29.6216,64.0,63.4518
2019-04-04-12:05:00,24.8,95.5814,74.7051,16.0143,29.6216,64.0,63.4518
2019-04-04-12:05:05,24.8,95.7331,74.7684,16.0034,29.6216,64.0,63.4518
2019-04-04-12:05:10,24.8,95.7357,74.6625,16.0244,29.6216,64.0,63.4518
2019-04-04-12:05:15,24.8,95.7197,74.6625,16.0136,29.6216,64.0,63.4518
2019-04-04-12:05:20,24.8,95.867,74.7654,16.0136,29.6216,64.0,63.4518
2019-04-04-12:05:25,24.8,95.3277,74.8981,15.9969,29.6216,64.0,63.4518
2019-04-04-12:05:30,24.8,95.6215,74.6102,15.9969,29.6216,64.0,63.4518
2019-04-04-12:05:35,24.8,95.6215,74.6172,15.9969,29.6216,64.0,63.4518
2019-04-04-12:05:40,24.8,95.357,74.7118,15.9969,29.6216,64.0,63.4518
2019-04-04-12:05:45,24.8,95.4009,74.6987,16.0102,29.6216,64.0,63.4518
2019-04-04-12:05:50,24.8,95.6099,74.5758,16.0001,29.6216,64.0,63.4518
2019-04-04-12:05:55,24.8,95.5023,74.5758,16.0015,29.6216,64.0,63.4518
2019-04-04-12:06:00,24.8,95.5114,74.5758,16.0147,29.6216,64.0,63.4518
2019-04-04-12:06:05,24.8,95.6835,74.5813,16.0254,29.6216,64.0,63.4518
2019-04-04-12:06:10,24.8,95.5296,74.5674,16.0254,29.7222,64.0,63.4518
2019-04-04-12:06:15,24.8,95.5343,74.6611,16.0141,29.7222,64.0,63.4518
2019-04-04-12:06:20,24.8,95.2834,74.5426,16.0025,29.7222,64.0,63.4518
2019-04-04-12:06:25,24.8,95.4695,74.5513,16.0025,29.7222,64.0,63.4518
2019-04-04-12:06:30,24.8,95.547,74.581,16.0025,29.7222,64.0,63.4518
2019-04-04-12:06:35,24.8,95.251,74.5669,15.9918,29.7222,64.0,63.4518
2019-04-04-12:06:40,24.8,95.5078,74.5669,15.9918,29.7222,64.0,63.4518
2019-04-04-12:06:45,24.8,95.6265,74.5669,15.9918,29.7222,64.0,63.4518
2019-04-04-12:06:50,24.8,95.4884,74.5669,15.9816,29.7222,64.0,63.4518
2019-04-04-12:06:55,24.8,95.5934,74.5669,15.9938,29.7222,64.0,63.4518
2019-04-04-12:07:00,24.8,95.3022,74.5669,15.9938,29.7222,64.0,63.4518
2019-04-04-12:07:05,24.8,95.3044,74.5669,15.9938,29.7222,64.0,63.4518
2019-04-04-12:07:10,24.8,95.2021,74.6349,15.9998,29.7222,64.0,63.4518
2019-04-04-12:07:15,24.8,95.2585,74.6349,15.9998,29.7222,64.0,63.4518
2019-04-04-12:07:20,24.8,95.4832,74.5552,15.9998,29.7222,64.0,63.4518
2019-04-04-12:07:25,24.8,95.6784,74.7858,15.9998,29.7222,64.0,63.4518
