Cavity,Gradient,JT Valve Position,Start,End,Reference Heat Load (Des),Reference Heat Load (Act),MySampler Time Interval
8,16,31.5,07/09/19 17:29:00,07/09/19 18:41:00,48,48.78361,1
7,15.2,31.5,07/09/19 19:47:44,07/09/19 21:08:10,48,48.78361,1
6,16,31.5,07/09/19 21:49:17,07/09/19 23:00:18,48,48.78361,1
5,16,31.9,07/10/19 16:47:02,07/10/19 18:15:30,48,48.62917,1
4,16,31.9,07/10/19 18:40:09,07/10/19 20:06:25,48,48.62917,1
2,14.5,31.9,07/10/19 20:23:45,07/10/19 21:49:10,48,48.62917,1
3,14.8,31.9,07/10/19 22:02:54,07/10/19 23:26:58,48,48.62917,1
1,14.9,51.2,07/12/19 14:57:33,07/12/19 16:29:12,64,64.59786,1
2,14.5,51.2,07/12/19 16:54:38,07/12/19 18:00:13,64,64.59786,1
3,14.7,51.2,07/12/19 19:04:34,07/12/19 19:44:22,64,64.59786,1
8,16,51.2,07/12/19 19:58:10,07/12/19 20:45:35,64,64.59786,1
7,15.3,47,07/15/19 15:51:14,07/15/19 16:47:15,48,48.63281,1
1,13,46.8,07/16/19 18:31:36,07/16/19 19:25:57,48,48.58146,1
1,13,47,07/17/19 17:17:12,07/17/19 18:15:19,48,48.86997,1
1,13,47,07/17/19 18:36:05,07/17/19 19:23:45,48,48.86997,1
1,13,47.1,07/17/19 20:02:16,07/17/19 20:58:49,48,48.86997,1
1,13,47,07/17/19 21:11:31,07/17/19 21:59:38,48,48.86997,1
1,13,47,07/17/19 22:14:49,07/17/19 23:07:55,48,48.86997,1
6,16,46.9,07/18/19 18:08:00,07/18/19 19:04:00,48,48.90667,1
6,16,49.4,07/18/19 19:20:33,07/18/19 20:42:29,48,48.90667,1
6,16,49.4,07/18/19 20:52:01,07/18/19 22:09:26,48,48.90667,1
6,16,49.4,07/18/19 22:21:15,07/18/19 23:17:09,48,48.90667,1
