Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0240:GACT,CHTR:CM02:1455:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-27-16:25:00,32.0195,98.6379,75.6026,0.0014432,1.92181,28.4518
2019-03-27-16:25:01,32.0195,98.2101,75.6026,0.0014432,1.92181,28.4518
2019-03-27-16:25:02,32.0195,98.2101,75.717,0.0014432,1.92181,28.4518
2019-03-27-16:25:03,32.0195,98.4168,75.717,0.0014432,1.92181,28.4518
2019-03-27-16:25:04,32.0195,98.1916,75.5077,0.0014432,1.92181,28.4518
2019-03-27-16:25:05,32.0195,98.4615,75.6746,0.0014432,1.92181,28.4518
2019-03-27-16:25:06,32.0195,98.2299,75.6746,0.0014432,1.92181,28.4518
2019-03-27-16:25:07,30.2344,98.2299,75.6746,0.0014432,1.92181,28.4518
2019-03-27-16:25:08,29.7656,98.4342,75.5685,0.0014432,1.92181,28.4518
2019-03-27-16:25:09,29.7656,98.2007,75.7984,0.0014432,1.92181,28.4518
2019-03-27-16:25:10,29.7656,98.3687,75.7984,0.0014432,1.92181,28.4518
2019-03-27-16:25:11,29.7656,98.3687,75.5223,0.0014432,1.92181,28.4518
2019-03-27-16:25:12,29.7656,98.2121,75.5223,0.0014432,1.92181,28.4518
2019-03-27-16:25:13,29.7656,98.2121,75.5223,0.0014432,1.92181,28.4518
2019-03-27-16:25:14,29.7656,98.2121,75.7638,0.0014432,1.92181,28.4518
2019-03-27-16:25:15,29.7656,98.3231,75.6016,0.0014432,1.92181,28.4518
2019-03-27-16:25:16,29.7656,98.3231,75.6016,0.0014432,1.92181,28.4518
2019-03-27-16:25:17,29.7656,98.1904,75.7531,0.0014432,1.92181,28.4518
2019-03-27-16:25:18,29.7656,98.1904,75.7531,0.0014432,1.92181,28.4518
2019-03-27-16:25:19,29.7656,98.1904,75.7531,0.0014432,1.92181,28.4518
2019-03-27-16:25:20,29.7656,98.2978,75.7531,0.0014432,1.92181,28.4518
2019-03-27-16:25:21,29.7656,98.2978,75.586,0.0014432,1.92181,28.4518
2019-03-27-16:25:22,29.7656,98.2978,75.6958,0.0014432,1.92181,28.4518
2019-03-27-16:25:23,29.7656,98.2978,75.6958,0.0014432,1.92181,28.4518
2019-03-27-16:25:24,29.7656,98.1814,75.5503,0.0014432,1.92181,28.4518
2019-03-27-16:25:25,29.7656,98.1814,75.7821,0.0014432,1.92181,28.4518
2019-03-27-16:25:26,29.7656,98.1814,75.5102,0.0014432,1.92181,28.4518
2019-03-27-16:25:27,27.9805,98.1814,75.6587,0.0014432,1.92181,28.4518
2019-03-27-16:25:28,27.7617,98.1814,75.6587,0.0014432,1.92181,28.4518
2019-03-27-16:25:29,27.7617,98.1814,75.5403,0.0014432,1.92181,28.4518
2019-03-27-16:25:30,27.7617,98.1814,75.5403,0.0014432,1.92181,28.4518
2019-03-27-16:25:31,27.7617,98.1814,75.721,0.0014432,1.92181,28.4518
2019-03-27-16:25:32,27.7617,98.1814,75.721,0.0014432,1.92181,28.4518
2019-03-27-16:25:33,27.7617,98.3245,75.6125,0.0014432,1.92181,28.4518
2019-03-27-16:25:34,27.7617,98.2201,75.6125,0.0014432,1.92181,28.4518
2019-03-27-16:25:35,27.7617,98.2201,75.6125,0.0014432,1.92181,28.4518
2019-03-27-16:25:36,27.7617,98.2201,75.6125,0.0014432,1.92181,28.4518
2019-03-27-16:25:37,27.7617,98.2201,75.7451,0.0014432,1.92181,28.4518
2019-03-27-16:25:38,27.7617,98.2201,75.5352,0.0014432,1.92181,28.4518
2019-03-27-16:25:39,27.7617,98.2201,75.6487,0.0014432,1.92181,28.4518
2019-03-27-16:25:40,27.7617,98.2201,75.515,0.0014432,1.92181,28.4518
2019-03-27-16:25:41,27.7617,98.2201,75.6906,0.0014432,1.92181,28.4518
2019-03-27-16:25:42,27.7617,98.2201,75.8283,0.0014432,1.92181,28.4518
2019-03-27-16:25:43,27.7617,98.2201,75.633,0.0014432,1.92181,28.4518
2019-03-27-16:25:44,27.7617,98.2201,75.8239,0.0014432,1.92181,28.4518
2019-03-27-16:25:45,27.7617,98.3345,75.8239,0.0014432,1.92181,28.4518
2019-03-27-16:25:46,27.7617,98.1853,75.5267,0.0014432,1.92181,28.4518
2019-03-27-16:25:47,25.9727,98.2869,75.5267,0.0014432,1.92181,28.4518
2019-03-27-16:25:48,25.9727,98.044,75.6955,0.0014432,1.92181,28.4518
2019-03-27-16:25:49,25.9727,98.1959,75.8909,0.0014432,1.92181,28.4518
2019-03-27-16:25:50,25.9727,98.1959,75.6649,0.0014432,1.92181,28.4518
2019-03-27-16:25:51,25.9727,98.4078,75.8978,0.0014432,1.92181,28.4518
2019-03-27-16:25:52,25.9727,98.2816,75.7321,0.0014432,1.92181,28.4518
2019-03-27-16:25:53,25.9727,98.2816,75.5753,0.0014432,1.92181,28.4518
2019-03-27-16:25:54,25.9727,98.2816,75.7247,0.0014432,1.92181,28.4518
2019-03-27-16:25:55,25.9727,98.2816,75.7247,0.0014432,1.92181,28.4518
2019-03-27-16:25:56,25.9727,98.2816,75.8868,0.0014432,1.92181,28.4518
2019-03-27-16:25:57,25.9727,98.2816,75.6221,0.0014432,1.92181,28.4518
2019-03-27-16:25:58,25.9727,98.2816,75.6221,0.0014432,1.92181,28.4518
2019-03-27-16:25:59,25.9727,98.2816,75.8884,0.0014432,1.92181,28.4518
2019-03-27-16:26:00,25.9727,98.2816,75.6644,0.0014432,1.92181,28.4518
2019-03-27-16:26:01,25.9727,98.2816,75.6644,0.0014432,1.92181,28.4518
2019-03-27-16:26:02,25.9727,98.2816,75.5256,0.0014432,1.92181,28.4518
2019-03-27-16:26:03,25.9727,98.2816,75.7295,0.0014432,1.92181,28.4518
2019-03-27-16:26:04,25.9727,98.3993,75.607,0.0014432,1.92181,28.4518
2019-03-27-16:26:05,25.9727,98.2127,75.607,0.0014432,1.92181,28.4518
2019-03-27-16:26:06,25.9727,98.2127,75.8451,0.0014432,1.92181,28.4518
2019-03-27-16:26:07,24.0508,98.4099,75.627,0.0014432,1.92181,28.4518
2019-03-27-16:26:08,24.0508,98.1962,75.5247,0.0014432,1.92181,28.4518
2019-03-27-16:26:09,24.0508,98.4236,75.7767,0.0014432,1.92181,28.4518
2019-03-27-16:26:10,24.0508,98.1761,75.5836,0.0014432,1.92181,28.4518
2019-03-27-16:26:11,24.0508,98.1761,75.8252,0.0014432,1.92181,28.4518
2019-03-27-16:26:12,24.0508,98.3536,75.668,0.0014432,1.92181,28.4518
2019-03-27-16:26:13,24.0508,98.1822,75.8095,0.0014432,1.92181,28.4518
2019-03-27-16:26:14,24.0508,98.4139,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:15,24.0508,98.1989,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:16,24.0508,98.1989,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:17,24.0508,98.3277,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:18,24.0508,98.2004,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:19,24.0508,98.3989,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:20,24.0508,98.2235,75.6704,0.0014432,1.92181,28.4518
2019-03-27-16:26:21,24.0508,98.2235,75.5645,0.0014432,1.92181,28.4518
2019-03-27-16:26:22,24.0508,98.2235,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:23,24.0508,98.2235,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:24,24.0508,98.3814,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:25,24.0508,98.0829,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:26,24.0508,98.3116,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:27,24.0508,98.3116,75.7215,0.0014432,1.92181,28.4518
2019-03-27-16:26:28,24.0508,98.2034,75.5563,0.0014432,1.92181,28.4518
2019-03-27-16:26:29,24.0508,98.2034,75.7044,0.0014432,1.92181,28.4518
2019-03-27-16:26:30,24.0508,98.2034,75.7044,0.0014432,1.92181,28.4518
