Cavity,Gradient,Q0,Calibration,Q0 Measurement,Calibration Cutoffs,Q0 Cutoffs
1,14.9,3.48E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
2,14.5,1.90E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 16:54:38 to 2019-07-12 18:00:13 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
3,14.7,1.92E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 19:04:34 to 2019-07-12 19:44:22 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
4,16,1.69E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-10 18:40:09 to 2019-07-10 20:06:25 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
5,16,1.89E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-10 16:47:02 to 2019-07-10 18:15:30 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
6,16,1.93E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-09 21:49:17 to 2019-07-09 23:00:18 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
7,15.3,1.98E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-15 15:51:14 to 2019-07-15 16:47:15 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
8,16,2.22E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 19:58:10 to 2019-07-12 20:45:35 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,13,2.00E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-17 22:14:49 to 2019-07-17 23:07:55 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,13,2.00E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-17 21:11:31 to 2019-07-17 21:59:38 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,13,2.50E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-17 20:02:16 to 2019-07-17 20:58:49 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,13,3.09E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-17 18:36:05 to 2019-07-17 19:23:45 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,13,2.17E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-17 17:17:12 to 2019-07-17 18:15:19 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,13,2.60E+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-16 18:31:36 to 2019-07-16 19:25:57 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
1,14.9,3.48e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
2,14.5,1.88e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 16:54:38 to 2019-07-12 18:00:13 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,166 | 172
3,14.7,1.84e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 19:04:34 to 2019-07-12 19:44:22 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,171 | 167
4,16.0,1.66e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-10 18:40:09 to 2019-07-10 20:06:25 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,215 | 330
